Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
WASP-76 b,2.239,0.729,0.554,1.83,0.92,2595.0,2182.0,2.833,1.8099,3.6936,8.2,120.0,6250.0,4.13,True,nexsci
WASP-77 A b,1.203,0.606,0.136,1.38,2.29,2071.0,1742.0,3.474,1.36,2.16,8.4,105.47,5365.0,4.33,True,nexsci
WASP-78 b,0.435,0.109,0.065,1.93,1.11,2938.0,2470.0,2.868,2.1752,2.1936,11.0,771.13,6100.0,4.1,True,nexsci
WASP-79 b,0.293,0.166,0.155,1.67,0.85,2101.0,1767.0,2.878,3.6624,1.0152,9.1,248.45,6600.0,4.2,True,nexsci
WASP-7 b,0.27,0.256,0.191,1.33,0.96,1767.0,1486.0,3.129,4.9546,3.7752,8.4,163.05,6400.0,4.23,True,nexsci
WASP-90 b,0.242,0.12,0.139,1.63,0.63,2189.0,1840.0,2.769,3.9162,3.3552,10.2,340.0,6430.0,4.03,True,nexsci
WASP-91 b,0.042,0.092,,1.03,1.34,1360.0,1144.0,3.496,2.7986,2.3424,,150.59,4920.0,4.3,True,nexsci
WASP-80 b,0.024,0.267,0.363,1.0,0.538,984.0,827.0,3.126,3.0679,2.131,8.4,49.86,4143.0,4.66,True,nexsci
WASP-81 b,,,,1.43,0.729,1926.0,1620.0,2.947,2.7165,,10.9,402.96,5870.0,4.26,True,nexsci
WASP-82 b,0.948,0.329,0.184,1.62,1.17,2547.0,2142.0,3.043,2.7058,4.992,8.8,277.84,6480.0,3.96,True,nexsci
WASP-83 b,0.027,0.07,0.154,1.04,0.3,1333.0,1121.0,2.837,4.9713,3.3648,10.4,300.0,5510.0,4.44,True,nexsci
WASP-84 b,0.005,0.085,0.127,0.94,0.694,950.0,799.0,3.287,8.5235,2.7689,8.9,125.0,5314.0,4.4,True,nexsci
WASP-85 A b,0.364,0.366,0.188,1.24,1.265,1721.0,1447.0,3.309,2.6557,2.5958,8.7,142.46,6112.0,,True,nexsci
WASP-88 b,0.177,0.122,0.21,1.46,0.42,1951.0,1640.0,2.689,4.954,6.048,10.3,531.61,6430.0,3.96,True,nexsci
WASP-89 b,0.029,0.071,0.007,1.04,5.9,1335.0,1123.0,4.131,3.3564,2.46,11.0,293.38,5130.0,4.51,True,nexsci
WASP-8 b,0.033,0.192,0.069,1.13,2.54,1152.0,968.0,3.693,8.1587,4.3968,8.1,90.19,5600.0,4.5,True,nexsci
WASP-92 b,0.246,0.114,0.089,1.46,0.805,2235.0,1879.0,2.971,2.1747,2.7672,11.5,530.0,6280.0,4.26,True,nexsci
WASP-93 b,0.43,0.192,0.094,1.6,1.47,2308.0,1941.0,3.155,2.7325,2.2344,9.9,250.0,6700.0,4.2,True,nexsci
WASP-94 A b,0.409,0.333,0.522,1.58,0.5,1835.0,1543.0,2.696,3.9502,4.488,8.9,212.46,6170.0,4.27,True,nexsci
WASP-95 b,0.572,0.338,0.123,1.23,1.44,2006.0,1687.0,3.373,2.1847,2.784,8.6,138.09,5830.0,4.36,True,nexsci
WASP-96 b,0.059,0.086,0.113,1.2,0.48,1529.0,1286.0,2.917,3.4253,2.4264,10.9,356.02,5540.0,4.42,True,nexsci
WASP-97 b,0.353,0.261,0.096,1.14,1.36,1849.0,1555.0,3.414,2.0728,2.5824,9.0,151.73,5640.0,4.45,True,nexsci
WASP-98 b,0.044,0.096,0.07,1.14,0.922,1392.0,1170.0,3.242,2.9626,1.908,11.3,284.05,5473.0,4.61,True,nexsci
WASP-99 b,0.137,0.148,0.034,1.02,2.43,1687.0,1418.0,3.763,5.7525,5.256,8.1,159.39,6150.0,4.3,True,nexsci
Wolf 503 b,0.0,0.005,0.06,0.18,0.015,940.0,791.0,3.055,6.0012,1.321,7.6,44.58,4716.0,4.62,True,nexsci
WTS-1 b,,,,1.49,4.01,1773.0,1491.0,3.651,3.3521,,15.3,3200.0,6250.0,4.4,True,nexsci
WTS-2 b,,,,1.36,1.12,1823.0,1533.0,3.174,1.0187,,13.4,1000.0,5000.0,4.6,True,nexsci
XO-2 N b,0.133,0.165,0.139,0.99,0.566,1578.0,1327.0,3.153,2.6159,2.6839,9.3,154.94,5307.0,4.43,True,nexsci
XO-1 b,0.082,0.18,0.154,1.14,0.83,1400.0,1177.0,3.199,3.9415,2.9712,9.5,164.33,5750.0,4.51,True,nexsci
XO-3 b,0.466,0.243,0.021,1.41,7.29,2150.0,1808.0,3.959,3.1915,2.5032,8.8,214.31,6429.0,3.95,True,nexsci
XO-4 b,,,,1.25,1.42,1879.0,1580.0,3.353,4.1251,,9.4,274.79,6397.0,4.18,True,nexsci
XO-5 b,0.052,0.091,0.048,1.14,1.19,1459.0,1227.0,3.356,4.1878,3.1176,10.3,278.37,5430.0,4.35,True,nexsci
XO-6 b,0.266,0.213,0.054,2.07,4.4,1875.0,1577.0,3.406,3.765,2.9,9.2,237.06,6720.0,4.04,True,nexsci
HD 219666 b,0.007,0.024,0.13,0.42,0.05223,1276.0,1073.0,2.866,6.0361,2.158,8.2,94.43,5527.0,4.4,True,nexsci
HD 1397 b,0.119,0.208,0.287,1.03,0.415,1462.0,1230.0,2.99,11.5353,8.6016,6.0,79.75,5521.0,3.82,True,nexsci
K2-284 b,0.0,0.004,0.043,0.25,0.0256,849.0,714.0,3.014,4.7951,2.147,10.1,107.6,4140.0,4.67,True,nexsci
