Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
WASP-105 b,0.003,0.037,,0.96,1.8,1007.0,847.0,3.685,7.8729,3.72,,252.52,5070.0,4.2,True,nexsci
WASP-114 b,0.131,0.048,0.014,1.34,1.769,2412.0,2029.0,3.388,1.5488,2.7821,13.2,460.0,5940.0,4.3,True,nexsci
WASP-129 b,0.017,0.056,0.038,0.93,1.0,1281.0,1077.0,3.457,5.7481,2.6856,10.4,246.0,5900.0,4.53,True,nexsci
WASP-5 b,0.258,0.145,0.041,1.09,1.58,2030.0,1707.0,3.52,1.6284,2.4134,10.6,311.88,5700.0,4.39,True,nexsci
CoRoT-17 b,0.017,0.02,,1.02,2.43,1933.0,1626.0,3.763,3.7681,4.72,12.5,920.0,5740.0,4.4,True,nexsci
CoRoT-28 b,0.03,0.033,0.03,0.95,0.484,1605.0,1349.0,3.119,5.2085,5.7,11.0,560.0,5150.0,3.6,True,nexsci
CoRoT-19 b,0.085,0.054,0.029,1.29,1.11,1971.0,1657.0,3.218,3.8971,4.6992,11.8,770.0,6090.0,4.07,True,nexsci
CoRoT-22 b,0.001,0.004,0.038,0.43,0.038,1199.0,1008.0,2.697,9.756,4.4928,12.0,592.0,5939.0,4.36,True,nexsci
CoRoT-7 b,0.01,0.005,0.026,0.15,0.01,2113.0,1777.0,3.042,0.8536,1.0584,9.8,160.64,5275.0,4.5,True,nexsci
CoRoTID 223977153 b,0.001,0.009,0.029,0.57,0.15,1142.0,960.0,3.059,6.7184,2.496,12.2,586.2,5970.0,4.67,True,nexsci
EPIC 211822797 b,0.0,0.0,0.012,0.18,0.0144,496.0,417.0,3.057,21.1699,3.2,11.4,187.19,4148.0,,True,nexsci
EPIC 211945201 b,0.001,0.01,0.066,0.51,0.08495,1062.0,893.0,2.901,19.4922,3.91,8.8,182.69,6069.0,4.22,True,nexsci
EPIC 220674823 b,0.021,0.005,0.012,0.16,0.02429,2755.0,2316.0,3.361,0.5713,1.532,10.3,246.1,5617.0,4.45,True,nexsci
EPIC 220674823 c,0.0,0.002,0.028,0.24,0.01825,965.0,812.0,2.881,13.3391,3.5,10.3,246.1,5617.0,4.45,True,nexsci
EPIC 246851721 b,0.055,0.062,0.012,1.05,3.0,1668.0,1403.0,3.828,6.1802,4.1081,9.9,336.7,6202.0,4.16,True,nexsci
GJ 1132 b,,,,0.1,0.00522,695.0,584.0,3.086,1.6289,,8.3,12.62,3270.0,4.88,True,nexsci
GJ 1214 b,0.0,0.028,0.427,0.25,0.0197,685.0,576.0,2.879,1.5804,0.8688,8.8,14.65,3026.0,4.94,True,nexsci
GJ 3470 b,0.001,0.037,0.322,0.41,0.04373,813.0,683.0,2.814,3.3366,1.8984,8.0,29.45,3600.0,4.7,True,nexsci
GJ 436 b,0.002,0.074,0.375,0.37,0.07,793.0,667.0,3.098,2.6439,1.0054,6.1,9.76,3479.0,4.79,True,nexsci
GJ 143 b,0.0,0.003,0.063,0.23,0.07142,505.0,425.0,3.513,35.6125,3.23,5.4,16.33,4640.0,4.61,True,nexsci
EPIC 201841433 b,,,,0.1,0.0043,,,3.045,4.1696,,12.5,441.94,5053.0,,True,nexsci
GJ 9827 b,0.01,0.017,0.064,0.14,0.01545,1406.0,1182.0,3.285,1.209,1.2598,7.2,29.69,4340.0,4.66,True,nexsci
GJ 9827 c,0.0,0.005,0.153,0.11,0.00264,973.0,818.0,2.725,3.6481,1.8264,7.2,29.69,4340.0,4.66,True,nexsci
GJ 9827 d,0.0,0.005,0.093,0.18,0.01271,815.0,686.0,2.988,6.2015,1.2264,7.2,29.69,4340.0,4.66,True,nexsci
HAT-P-11 b,0.004,0.049,0.202,0.39,0.084,986.0,829.0,3.139,4.8878,2.3639,7.0,37.81,4780.0,4.66,True,nexsci
HAT-P-12 b,0.021,0.106,0.314,0.96,0.211,1138.0,957.0,2.755,3.2131,2.3376,10.1,142.5,4650.0,4.61,True,nexsci
HAT-P-13 b,0.302,0.194,0.123,1.27,0.851,1934.0,1626.0,3.115,2.9162,3.228,9.0,214.0,5653.0,4.13,True,nexsci
HAT-P-14 b,0.258,0.148,0.029,1.42,3.44,2091.0,1759.0,3.626,4.6277,2.1888,8.9,224.1,6600.0,4.25,True,nexsci
HAT-P-15 b,0.008,0.069,0.035,1.06,1.94,1063.0,894.0,3.631,10.8635,5.484,9.6,193.56,5568.0,4.38,True,nexsci
HAT-P-16 b,0.309,0.212,0.031,1.29,4.193,1935.0,1627.0,3.796,2.776,3.0624,9.6,235.0,6158.0,4.34,True,nexsci
HAT-P-17 b,0.006,0.11,0.218,1.05,0.58,945.0,794.0,3.115,10.3385,4.056,8.5,92.63,5246.0,4.53,True,nexsci
HAT-P-18 b,0.006,0.069,0.295,0.99,0.197,1009.0,848.0,2.693,5.508,2.7144,10.2,166.0,4803.0,4.57,True,nexsci
HAT-P-19 b,0.025,0.102,0.258,1.13,0.292,1200.0,1009.0,2.752,4.0088,2.8368,10.5,215.0,4990.0,4.54,True,nexsci
HAT-P-1 b,0.163,0.225,0.319,1.32,0.525,1573.0,1323.0,2.874,4.4653,2.85,8.9,159.71,5980.0,4.36,True,nexsci
HAT-P-20 b,0.035,0.169,0.013,0.87,7.246,1152.0,969.0,4.378,2.8753,1.896,8.6,70.0,4595.0,4.63,True,nexsci
HAT-P-21 b,0.083,0.105,0.012,1.11,4.87,1586.0,1334.0,3.991,4.1245,3.672,10.1,279.48,5588.0,4.33,True,nexsci
HAT-P-22 b,0.285,0.356,0.08,1.15,2.47,1574.0,1324.0,3.666,3.2122,2.8704,7.8,81.96,5302.0,4.36,True,nexsci
HAT-P-23 b,0.318,0.151,0.05,1.09,1.34,2178.0,1832.0,3.446,1.2129,1.9728,10.8,368.61,5905.0,4.33,True,nexsci
HAT-P-24 b,0.19,0.122,0.102,1.3,0.75,1991.0,1674.0,3.041,3.3552,3.694,10.5,420.26,6373.0,4.27,True,nexsci
HAT-P-25 b,0.045,0.093,0.109,1.14,0.569,1406.0,1182.0,3.039,3.6528,2.813,10.8,302.95,5519.0,4.52,True,nexsci
HAT-P-26 b,0.012,0.043,0.247,0.63,0.07,1241.0,1044.0,2.641,4.2345,2.4552,9.6,142.41,5079.0,4.56,True,nexsci
HAT-P-42 b,0.081,0.081,0.049,1.28,1.044,1699.0,1429.0,3.198,4.6419,4.0344,10.6,447.0,5743.0,4.14,True,nexsci
HAT-P-43 b,0.064,0.076,0.075,1.28,0.662,1613.0,1356.0,3.0,3.3327,3.2496,11.8,542.0,5645.0,4.37,True,nexsci
HAT-P-27 b,0.052,0.094,0.083,1.02,0.62,1442.0,1212.0,3.169,3.0396,1.68,10.1,204.0,5300.0,4.51,True,nexsci
HAT-P-28 b,0.084,0.095,0.092,1.21,0.626,1640.0,1379.0,3.024,3.2572,3.2184,11.1,395.0,5680.0,4.36,True,nexsci
HAT-P-29 b,0.053,0.081,0.063,1.17,0.88,1541.0,1296.0,3.202,5.7232,3.8928,10.3,316.36,6087.0,4.34,True,nexsci
HAT-P-2 b,0.155,0.186,0.012,0.95,8.7,1652.0,1390.0,4.377,5.6335,4.2888,7.6,128.25,6380.0,4.16,True,nexsci
HAT-P-30 b,0.409,0.251,0.203,1.44,0.83,2021.0,1700.0,2.997,2.8106,2.1288,9.2,215.29,6304.0,4.36,True,nexsci
HAT-P-31 b,0.081,0.092,0.024,1.09,2.27,1660.0,1396.0,3.675,5.0054,5.1384,10.1,347.48,6065.0,4.26,True,nexsci
HAT-P-32 b,0.918,0.437,0.523,1.98,0.68,2185.0,1838.0,2.633,2.15,3.108,10.0,291.51,6001.0,4.22,True,nexsci
HAT-P-33 b,0.51,0.247,0.221,1.85,0.92,2213.0,1861.0,2.824,3.4745,4.4136,10.0,400.55,6446.0,4.15,True,nexsci
HAT-P-34 b,0.156,0.123,0.012,1.35,7.01,1867.0,1570.0,3.979,5.4527,3.1752,9.2,251.08,6442.0,4.21,True,nexsci
HAT-P-35 b,0.93,0.216,0.034,3.55,7.52,3062.0,2575.0,3.17,3.6467,3.936,11.0,514.2,6096.0,4.21,True,nexsci
HAT-P-36 b,0.418,0.206,0.055,1.28,1.8482,2117.0,1780.0,3.449,1.3273,2.2152,10.6,296.93,5620.0,4.42,True,nexsci
HAT-P-37 b,0.055,0.081,0.043,1.18,1.169,1520.0,1278.0,3.32,2.7974,2.3304,11.7,411.0,5500.0,4.51,True,nexsci
